Category,Parts,Quantity,Price,Status,Treshold,Date Restocked,Quantity Added
Cooling System,Coolant,44,650,Check Data,,2026-05-03,45
Cooling System,Radiator,30,850,,,11/11/2026,30
Engine System,Engine Oil 5W-30,29,2400,,,11/11/2026,30
Engine System,Engine Oil 10W-40,30,1650,,,11/11/2026,30
Brake System,Brake Pads Front,29,1400,,,11/11/2026,30
Brake System,Brake Pads Front,30,1200,,,11/11/2026,30
Transmission System,ATF,24,450,,,11/11/2026,30
Transmission System,Gear Oil,30,550,,,11/11/2026,30
Suspension System,Front Schock,29,3800,,,11/11/2026,30
Suspension System,Rear Schock,30,2800,,,11/11/2026,30
Steering System,Power Steering Fluid,29,280,,,11/11/2026,30
Electrical System,12V Battery,29,5500,,,11/11/2026,30
Electrical System,Alternator,30,6800,,,11/11/2026,30
Electrical System,Starter Motor,29,8500,,,11/11/2026,30
Electrical System,Brake Light Bulb,29,8500,,,11/11/2026,30
Electrical System,Headlight Bulb,29,8500,,,11/11/2026,30
Electrical System,Voltage Regulator,29,8500,,,11/11/2026,30
HVAC,AC Compressor,30,450,,,11/11/2026,30
HVAC,Refrigerant,30,600,,,11/11/2026,30
HVAC,Blower Motor,30,1100,,,11/11/2026,30
Tires & Wheels,Car Tire,30,6500,,,11/11/2026,30
Tires & Wheels,Rim,30,4500,,,11/11/2026,30
Body & Frame,Windshield Glass,30,3500,,,11/11/2026,30
Body & Frame,Windshield Glass,30,550,,,11/11/2026,30
Body & Frame,Windshield Glass,30,500,,,11/12/2026,30
Exhaust System,Catalytic Converter,30,550,,,11/11/2026,30
Exhaust System,Catalytic Converter,30,500,,,11/12/2026,30
Fuel System,Fuel Pump,29,550,,,11/11/2026,30
Fuel System,Fuel Injector,30,500,,,11/12/2026,30
